# t (s)	mx ()	my ()	mz ()	m_zrange0-20_x ()	m_zrange0-20_y ()	m_zrange0-20_z ()	m_zrange21-31_x ()	m_zrange21-31_y ()	m_zrange21-31_z ()	m_zrange32-52_x ()	m_zrange32-52_y ()	m_zrange32-52_z ()
1.2400000000001967e-09	0.30915135	0.012215791	-0.009440993	0.608493	0.057867445	-0.004142464	-0.82638454	-0.16794842	-0.032523274	0.608493	0.057867825	-0.00414248
1.2500000000001998e-09	0.30699974	0.00502634	-0.010558289	0.604921	0.056025125	-0.007284297	-0.8232853	-0.19796433	-0.025765985	0.604921	0.056025516	-0.007284266
1.2600000000002029e-09	0.30576152	0.0039975997	-0.011380349	0.60404027	0.061055988	-0.010079273	-0.82620066	-0.22343704	-0.018860832	0.60404	0.06105631	-0.010079216
1.270000000000206e-09	0.30509847	0.008982483	-0.01137254	0.6050286	0.07241379	-0.011400516	-0.8336024	-0.24294665	-0.013535285	0.60502857	0.072413996	-0.011400446
1.280000000000209e-09	0.30462602	0.017761149	-0.010242106	0.6067894	0.08731787	-0.010840448	-0.8431018	-0.25691354	-0.00989729	0.60678923	0.087317884	-0.010840388
1.290000000000212e-09	0.30376244	0.026703803	-0.008273279	0.6079946	0.10148364	-0.008817692	-0.8524135	-0.2670745	-0.007750356	0.6079945	0.10148349	-0.008817658
1.3000000000002151e-09	0.3019051	0.03297401	-0.0058947946	0.60747665	0.11122914	-0.0061900355	-0.86	-0.27345115	-0.005892788	0.6074765	0.11122886	-0.0061900364
1.3100000000002182e-09	0.29893512	0.035827775	-0.0035609414	0.60495883	0.11515001	-0.003792579	-0.86537236	-0.27429494	-0.0033465542	0.6049587	0.11514969	-0.0037925919
1.3200000000002213e-09	0.2954547	0.036105983	-0.0015087569	0.60149646	0.11433307	-0.001945309	-0.8696209	-0.26958048	-6.4322165e-05	0.60149634	0.11433272	-0.0019452979
1.3300000000002243e-09	0.29243824	0.035427023	0.00033372376	0.59846795	0.11118619	-0.0004909822	-0.87319267	-0.2605236	0.0036992214	0.5984679	0.11118585	-0.00049094675
1.3400000000002274e-09	0.29083446	0.03556708	0.0018683455	0.5969601	0.107911445	0.0006207675	-0.87550133	-0.24669628	0.007232244	0.5969602	0.10791111	0.00062080927
1.3500000000002305e-09	0.29101303	0.03769441	0.0030364892	0.5973898	0.105967715	0.0015173171	-0.8762916	-0.22785933	0.009720407	0.5973898	0.10596742	0.0015173507
1.3600000000002335e-09	0.29235554	0.041507356	0.0037154758	0.5993306	0.1054742	0.0021819551	-0.87707394	-0.2060581	0.010592641	0.5993307	0.10547396	0.0021819607
1.3700000000002366e-09	0.29404676	0.045757588	0.0039318493	0.6020697	0.10565002	0.0027398162	-0.8792356	-0.18466029	0.009486394	0.60206974	0.10564985	0.002739795
1.3800000000002397e-09	0.29619446	0.048826594	0.0042863525	0.6053917	0.10500468	0.0038487266	-0.8813559	-0.16612025	0.006894169	0.6053918	0.105004594	0.003848705
1.3900000000002427e-09	0.29897583	0.04918866	0.0050646365	0.60901105	0.10189031	0.005586018	-0.88137007	-0.1517801	0.0039920784	0.6090111	0.10189028	0.0055859983
1.4000000000002458e-09	0.30145267	0.04567061	0.0059165764	0.61169684	0.09504067	0.0073205223	-0.87923324	-0.14267546	0.0014841654	0.61169684	0.09504064	0.0073204935
1.4100000000002489e-09	0.3020577	0.038355075	0.0063123577	0.61184573	0.08457374	0.008439755	-0.87668324	-0.13884847	-0.00093468407	0.61184585	0.08457369	0.008439719
1.420000000000252e-09	0.30042535	0.028533518	0.005628846	0.6092675	0.07208078	0.008269466	-0.8748581	-0.13994873	-0.0038077962	0.6092676	0.07208074	0.008269432
1.430000000000255e-09	0.2978751	0.018644143	0.003666588	0.60576123	0.06048726	0.006416943	-0.87409437	-0.1449994	-0.0066014444	0.60576123	0.060487222	0.0064169094
1.440000000000258e-09	0.29601538	0.011327765	0.0009617562	0.6033412	0.052755695	0.003364019	-0.87408507	-0.15211838	-0.008454866	0.6033413	0.052755695	0.0033639811
1.4500000000002611e-09	0.29581606	0.008046488	-0.0016839381	0.6031008	0.050377198	9.9158286e-05	-0.87415963	-0.15966713	-0.009153059	0.6031008	0.050377242	9.913277e-05
1.4600000000002642e-09	0.29750022	0.008522276	-0.003758715	0.60539514	0.052688636	-0.0027406728	-0.8745794	-0.16643892	-0.008582627	0.6053952	0.05268874	-0.0027406723
